General Features;Version;Last Release Date;Author;URL;Free and Open Source;License;Programming Language;Data Storage;License Cost/ Fee;Development status;Intended Audience;Hosting Features;Storage Quota;Bandwidth Quota;Other Limits;Topic Restrictions;Corporate Branding;Own Domain;Ads allowed;System Requirements;Operating System;Root Access;Webserver;Other Requirements;Datastorage;Text Files;MySQL;PostgreSQL;Oracle;SQLite;BerkeleyDB;RCS;Other;Security/Anti-Spam;Page Permissions;ACL;Authentication Backends;Host Blocking;Mail Encryption;nofollow;Blacklist;CAPTCHA;Delayed Indexing;Development/Support;Commercial Support;Preconfigured Hosting;Code Repository;Issue Tracker;Mailing List;Support Forum;IRC Channel;Common Features;Preview;Minor Changes;Change Summary;Page History;Page Revisions;Revision Diffs;Page Index;Plugin System;Special Features;Unicode Support;Right-to-Left Support;Interface Languages;;Email notification;Comments;Categories;Namespaces;Page Redirection;Conflict Handling;Search;Wiki Farming;Structured Data;Links;CamelCase;Freelinks;Backlinks;InterWiki;SisterWiki;Image Links;Windows Shares;Page Redirects;Syntax Features;HTML Tags;Math formulas;Tables;CREOLE support;Markdown Support;Textile Support;BBCode Support;Emoticon Images;Syntax Highlighting;Footnotes;Quoting;Internal Comments;Custom styles;FAQ Tags;Scripting;Content Includes;Feed Aggregation;Usability;Section Editing;Page Templates;Double-Click Edit;Toolbar;WYSIWYG Editing;Access Keys;Auto Signature;Statistics;Recent Changes;Wanted Pages;Orphaned Pages;Most/Least Popular;Recent Visitors;Analysis;Output;HTML;CSS Stylesheets;Printer Friendly;Mobile Friendly;Themes & Skins;RSS Feeds;ATOM Feeds;Abbreviations;Auto-TOC;Raw Export;HTML Export;XML export;PDF Export;Media and Files;File Attachments;Media Revisions;Embedded Flash;Embedded Video;Image Editing;SVG Editing;MindMap Editing;Media Search;Extras;Calendar;Image Galleries;Forums;Blogs;Ticket System;Syntax Examples;Internal Link;;;;;;External Link;;;;;;;;Headlines;;;;;;;;;;;;;Bold Format;;;;;;Italics Format;;;;;;Underline Format;;;;;;Monospace Format;;;;;;;Strikethrough Format;;;Superscript Format;;;Subscript Format;;;;Images;;;;;;;;;;;;;;;;;;Aligning Text;;;;;;;Text Indentation;;;;Bulleted Lists;;;;;;;;;;Numbered Lists;;;;;;;;;;Definition Lists;;;;;;;Horizontal Rule;;;Try it;;;;;;
ProjectForum ;36592;December 9, 2013;ProjectForum.com;www.projectforum.com;No;Commercial;Various (but completely self-contained);Files, DB;"Free / $25+; Hosting $25+/mo.";Mature;small-medium workgroups, in a wide variety of settings (small-large business, non-profit, research, education, etc.);ProjectForum ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;ProjectForum ;Windows, Mac OS X, Linux;No;Built-in;None;ProjectForum ;No;No;No;No;No;No;No;Metakit (open source);ProjectForum ;Yes;Yes;Built-in or external via gateway (e.g. LDAP);No;No;No;No;No;No;ProjectForum ;Yes, 1 listed;Yes;;;;demo.projectforum.com;;ProjectForum ;Yes;No;No;Yes;Unlimited;Between all;Yes;Yes;ProjectForum ;Yes;;Not localized;;Yes;Flat;Yes;No;Yes;Conflict Resolution;Full Text;Yes;;ProjectForum ;No;Yes;Yes;No;No;Yes;Yes;Yes;ProjectForum ;Optional;Yes;simple;No;No;No;No;No;No;Yes;No;No;Yes;No;;Yes;Yes;ProjectForum ;No;Yes;No;Yes;Yes;No;No;ProjectForum ;Yes;No;No;No;Yes;No;ProjectForum ;HTML 4;Yes;Print View;Yes;Yes;Yes;No;No;Yes;Optional;Yes;No;No;ProjectForum ;Yes;Yes;Yes;Yes;No;No;No;No;ProjectForum ;;;;;;ProjectForum ;[Wiki page];;;;;;;;;;;;http://www.foo.com;;;;;;;;*** Headline ***;;;;;;;;;;;;'''bold''';;;;;''italic'';;;;;;;;;===monospace===;;;;;;;;;;;;;;;;[image:http://.../foo.gif];[image:12345];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;* one;** one a;** one b;* two;;;;;;# one;## one a ;## one b;# two;;;;;;;;;;;;;;----;;;;;;;
ProntoWiki ;1.0.1;1.0.1;Clay Alberty;prontowiki.sourceforge.net;Yes;BSD;C#;Database;Free;Mature;;ProntoWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;ProntoWiki ;Windows;;IIS 5+;.NET framework v2.0 or higher;ProntoWiki ;;;;;;;;SQLExpress or SQL 2000 or SQL 2005;ProntoWiki ;Yes;;.NET Membership platform;No;No;No;No;No;No;ProntoWiki ;No;No;CVS;SF.NET;;;;ProntoWiki ;Yes;No;No;Yes;;Between all;;;ProntoWiki ;;;Not localized;;No;No;Optional;No;No;;Full Text;;;ProntoWiki ;Optional;Yes;No;No;No;Optional;No;;ProntoWiki ;Some;No;none;;;;;No;No;Optional;Optional;No;Yes;No;;No;No;ProntoWiki ;No;;No;Yes;No;No;No;ProntoWiki ;;No;No;Optional;No;No;ProntoWiki ;XHTML 1.0 Transitional;Yes;;;Yes;No;No;No;No;No;No;No;No;ProntoWiki ;Yes;No;;;No;No;No;;ProntoWiki ;;;;;;ProntoWiki ;[pagename];;;;;;;;;;;;{title|url};;;;;;;;!, !!, !!!;;;;;;;;;;;;**bold**;;;;;''italics'';;;;;__under__;;;;;;;;;;;;<<strike>> (using custom tags);;;;<<super>> (using custom tags);;<<sub>> (using custom tags);;{guid} - this is displayed and can be inserted automatically for each image/page;;;;;;;available through custom tags;;;;;;;;;;;"multiple spaces -> &nbsp;";;;;;;;;;;;;;;+;++;+++;++++;;;;;;#;##;###;####;;;;;;;;;;;;;;;;;;;;;
ProWiki ;2.0.045;Oct 14, 2006;Helmut Leitner;prowiki.org;Yes;GPL;Perl;Files;0;Mature;individual Wiki projects, everybody who needs more than a single wiki for a single purpose;ProWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;ProWiki ;Unix / Linux;No;Apache (probably anything supporting CGI);none;ProWiki ;Yes;No;No;No;No;No;Yes;;ProWiki ;Yes;Yes;;Yes;No;Yes;Yes;No;No;ProWiki ;No;Yes;;prowiki.org;;prowiki.org;;ProWiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;No;ProWiki ;Yes;No;8 languages;German, English, Spanish, French, Hungarian, Italian, Japanese, Russian;Yes;No;Yes;Yes;Yes;Conflict Resolution;Full Text;Yes;No;ProWiki ;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;ProWiki ;Some;Yes;simple + complex;No;No;No;No;Yes;No;Yes;Yes;No;Yes;No;;Yes;No;ProWiki ;Yes;Yes;No;No;No;No;Yes;ProWiki ;Yes;Yes;Yes;Yes;No;Yes;ProWiki ;HTML 4;Optional;Print View;Yes;Optional;Yes;No;Yes;No;Yes;Yes;No;No;ProWiki ;Yes;No;Yes;Yes;No;Yes;No;No;ProWiki ;Yes;No;No;Yes;No;ProWiki ;CamelCase;Wordlinking;{{free link}};[page labelforlink];;;;;;;;;http://example.org;InterWiki:page;[some:link labelforlink];;;;;;= Headline 1 =;== Headline 2 =;=== Headline 3 =;==== Headline 4 =;===== Headline 5 =;====== Headline 6 =;;;;;;;'''bold''';;;;;''italic'';;;;;<u>underlined</u>;;;;<tt>monospace</tt>;;;;;;;;[[strike]strikethrough text];;;;<sup>text</sup>;;<sub>text</sub>;;http://example.org/file.jpg;Upload:file.gif;[[Image]...options...];;;;;only as part of tables or citations;[align:left|center|right];;;;;;;;;;: indented line;:: indented line;;;;;;;;;;;;;* bulleted list;** bulleted list;;;;;;;;# numbered list;## numbered list;;;;;;;;;;"; term: definition";;;;;;----;;;;;;;
PukiWiki ;1.4.7_notb;39011;PukiWiki Developers Team;pukiwiki.sourceforge.jp;Yes;GPL version 2 or (at your option) any later version;PHP;Files;0;Mature;One theme, one PukiWiki;PukiWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;PukiWiki ;OS independent;No;Apache, IIS, anything with PHP support;"tar with ""-p"" option, or unzip for install. ""mbstring"" PHP extension for multi-bite support. backup feature wants 'zip' PHP extension.";PukiWiki ;Yes;No;No;No;No;No;No;"zip-compressed text files for backup (with ""zip"" PHP extension)";PukiWiki ;Yes;Yes;LDIF strings compatible with OpenLDAP;No;No;Yes;No;No;No;PukiWiki ;No;Yes;cvs.sourceforge.jp;pukiwiki.sourceforge.jp;sourceforge.jp;pukiwiki.sourceforge.jp%E8%B3%AA%E5%95%8F%E7%AE%B13;#pukiwiki;PukiWiki ;Yes;No;No;Yes;Unlimited;To current;Yes;;PukiWiki ;Yes;;5 languages;German, English, Japanese, Korean, Twi;Yes;Plugin;No;No;No;Conflict Detection;Full Text;;;PukiWiki ;Yes;Yes;Yes;Yes;No;Yes;Patch;;PukiWiki ;Plugin;Plugin;simple + complex;No;No;No;No;Yes;Plugin;Yes;Optional;Yes;Yes;No;plugins(PHP), skins(PHP), CSSes(PHP,CSS);Plugin;Plugin;PukiWiki ;Patch;;No;Patch;Patch;Yes;Plugin;PukiWiki ;Yes;Plugin;No;Plugin;No;No;PukiWiki ;XHTML 1.1;Yes;Print CSS;;Yes;Plugin;Plugin;No;Plugin;Plugin;No;No;No;PukiWiki ;Plugin;No;Plugin;No;Plugin;No;No;No;PukiWiki ;;;;;;PukiWiki ;PageNameAsWikiName;[[PageName]];[[link text>PageName]];;;;;;;;;;http://....;[[link text>http://....]];[[interwiki:keyphrase]];[[link text>interwiki:keyphrase]];;;;;* Level 1;** Level 2;*** Level 3;;;;;;;;;;''bold'';;;;;'''italic''';;;;;%%%underlined%%%;;;;;;;;;;;;%%strikethrough%%;;;;;;;;#ref(pagename/filename[,option]);"&ref(pagename/filename[,option]);";"&ref(http://foo.bar/foo.jpg[,option]);";http://foo.bar/foo.jpg;;;;CENTER:center;RIGHT:right;LEFT:left;;;;;;;;;;;;;;;;;;;;;;;- Item 1;-- Item 1.1;- Item 2;;;;;;;+ Item 1;++ Item 1.1;+ Item 2;;;;;;;;;:term|definition;;;;;;--------------------;;;;;;;
Riki ;0.1;38755;Bart Masschelein;smart-engines.dyndns.org;Yes;MIT;Rails;Database;;Alpha;;Riki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Riki ;Windows, Linux, Mac;;Apache, lighttp;database;Riki ;;Yes;Yes;;Yes;;;;Riki ;Yes;Yes;;No;No;No;No;No;No;Riki ;No;No;Subversion;;;;;Riki ;Yes;No;No;Yes;Unlimited;To current;No;;Riki ;;;;;No;No;No;No;No;None;Full Text;;;Riki ;No;Yes;Yes;No;No;Yes;;;Riki ;;;simple;;;Yes;;;;;;;;;;;Yes;Riki ;No;;No;No;No;No;Yes;Riki ;Yes;Yes;Yes;No;No;No;Riki ;;;;;;Yes;;;;;;;;Riki ;;;;;;;;;Riki ;;;;;;Riki ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roadkill ;41791;41391;C.Small;roadkill.codeplex.com;Yes;MS-PL;C#;Database;0;Mature;Small-mid sized teams, website wikis;Roadkill ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Roadkill ;Windows Server, Ubuntu;Yes;IIS, Apache;mono and mod_mono on Ubuntu;Roadkill ;Patch;Yes;Yes;Yes;Yes;No;No;SQL Server, MongoDB;Roadkill ;Yes;Yes;Database, Active Directory, custom if needed;No;No;No;No;Optional;No;Roadkill ;No;No;bitbucket.org;bitbucket.org;groups.google.com#!forum/roadkillwiki;groups.google.com#!forum/roadkillwiki;n/a;Roadkill ;Yes;No;No;Yes;Unlimited;Between all;Yes;No;Roadkill ;Yes;No;3 languages;Czech, English, Polish;No;No;Yes;No;No;None;Full Text;No;No;Roadkill ;No;Yes;Plugin;No;No;Yes;Yes;No;Roadkill ;Some;Plugin;simple;Yes;Yes;No;No;No;No;No;No;No;Yes;No;none;No;No;Roadkill ;No;No;No;Yes;No;Yes;No;Roadkill ;No;No;No;No;No;No;Roadkill ;HTML 4;Yes;Print View;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;No;Roadkill ;Yes;No;Plugin;Yes;No;No;No;No;Roadkill ;No;No;No;No;No;Roadkill ;[[Pagename|linkname]];;;;;;;;;;;;[[URL|linkname]];;;;;;;;== Large heading;;;;;;;;;;;;** bold **;;;;;//italics//;;;;;_underline_;;;;{{;;monospace;;}};;;;;;;;;;;;{{Image.jpg.|title}};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;* Bullet List;** Sub item;;;;;;;;# Numbered list;## Sub item;;;;;;;;;;;;;;;;----;;;;;;;
sahriswiki ;0.8.1;40586;James Mills;sahriswiki.org;Yes;MIT;Python;Files, DB, RCS;$0.00;Beta;Developers, Personal Use, Small Businesses;sahriswiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;sahriswiki ;Linux, BSD, OSX;No;circuits.web or mod_wsgi;Installed by setuptools;sahriswiki ;Yes;No;No;No;No;No;Yes;;sahriswiki ;No;No;N/A;No;Yes;Yes;Yes;No;Yes;sahriswiki ;No;Yes;hg.softcircuit.com.au;hg.softcircuit.com.au;N/A;N/A;webchat.freenode.net;sahriswiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;No;sahriswiki ;Yes;No;Not localized;;No;Flat;No;No;No;Conflict Resolution;Full Text;No;No;sahriswiki ;Yes;Yes;Yes;Yes;No;Yes;No;No;sahriswiki ;All;No;simple;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;;Yes;Yes;sahriswiki ;No;No;No;No;No;No;No;sahriswiki ;Yes;Yes;Yes;No;No;No;sahriswiki ;XHTML 1.0 Strict;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;sahriswiki ;No;No;No;No;No;No;No;No;sahriswiki ;No;No;No;No;No;sahriswiki ;[[FooBar]];;;;;;;;;;;;[[http://www.google.com]];;;;;;;;= FooBar =;;;;;;;;;;;;**FooBar**;;;;;//FooBar//;;;;;__FooBar__;;;;{{{FooBar}}};;;;;;;;--FooBar--;;;;FOO^Bar;;;;{{http://c2.com/sig/wiki.gif}};;;;;;;;;;;;;;;;;;This is normal text here.;;> Indent me! The quick brown fox jumps over the lazy dog. \\;Now this the time for all good men to come to the aid of \\;their country. Notice how we can continue the block-quote \\;"in the same ""paragraph"" by using a backslash at the end of \\";the line.;>;> Another block, leading to...;>> Second level of indenting.  This second is indented even \\;more than the previous one.;;Back to normal text.;;* Item 1;** Item 1a;* Item 2;;;;;;;# Item 1;# Item 2;## Item 2.1;### Item 2.1.1;# Item 3;;;;;;;";Item 1: Something";";Item 2: Something else";;;;;----;;;;;;;
SamePage ;36954;40422;eTouch Systems;www.etouch.net;No;Commercial as well free Community licenses;Java;Files, DB;Pls check www.etouch.net. Community edition is Free.;Mature;Anyone who intends to use the Web for a collaborative initiatives.Geared for Enterprise Users.;SamePage ;None;None;User-based;No pornography;Yes;Yes;No;SamePage ;Windows/Linux/Solaris;No;Bundled with Tomcat. Can run on any J2EE app server(OAS,JBOSS,WebLogic,WebSphere etc). Can be proxied via webserver of choice(Apache,IIS etc);JDK1.5;SamePage ;No;Yes;No;Yes;No;No;No;;SamePage ;Yes;Yes;Database,LDAP (AD, OID,Novell,Sun etc), SSO (Siteminder,WebSeal, OracleSSO etc);No;No;No;No;Yes;Yes;SamePage ;Yes, 2 listed;Yes;Source Code is not included;support.etouch.net;samepage-support@etouch.net;forums.etouch.net;Not available currently;SamePage ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;SamePage ;Yes;Yes;5 languages;German, English, French, Hungarian, Polish;Yes;Threaded;Yes;Yes;Yes;Page Locking;Full Text;Yes;Patch;SamePage ;No;Yes;Yes;Yes;No;Yes;Yes;Yes;SamePage ;Optional;Plugin;simple + complex;No;No;Yes;No;Yes;No;No;Yes;No;Yes;No;Direct scripting prohibited for security reasons.Can be done via plugins, custom js files.;Yes;Yes;SamePage ;Patch;Yes;No;Yes;Yes;Yes;No;SamePage ;Yes;Yes;Yes;Yes;No;Yes;SamePage ;HTML 4;Yes;Print View;;Yes;Yes;Yes;Yes;Plugin;No;Yes;Yes;Yes;SamePage ;Yes;Yes;Yes;Yes;Yes;No;No;Contents;SamePage ;Plugin;Yes;Yes;Yes;Yes;SamePage ;Through WYSIWYG Editor. No syntax required.;;;;;;;;;;;;Through WYSIWYG Editor. No syntax required.;;;;;;;;Through WYSIWYG Editor. No syntax required.;;;;;;;;;;;;Through WYSIWYG Editor. No syntax required.;;;;;Through WYSIWYG Editor. No syntax required.;;;;;Through WYSIWYG Editor. No syntax required.;;;;Through WYSIWYG Editor. No syntax required.;;;;;;;;Through WYSIWYG Editor. No syntax required.;;;;Through WYSIWYG Editor. No syntax required.;;Through WYSIWYG Editor. No syntax required.;;Through WYSIWYG Editor. No syntax required.;;;;;;;Through WYSIWYG Editor. No syntax required.;;;;;;;;;;;Through WYSIWYG Editor. No syntax required.;;;;;;;;;;;;;;Through WYSIWYG Editor. No syntax required.;;;;;;;;;Through WYSIWYG Editor. No syntax required.;;;;;;;;;;;Through WYSIWYG Editor. No syntax required.;;;;;;Through WYSIWYG Editor. No syntax required.;;;;;;;
ScrewTurn Wiki ;3.0.5.600;40736;Threeplicate Srl;www.screwturn.eu;Yes;GNU General Public License v2;C#/ASP.NET 3.5;Files;Free;Mature;Anyone;ScrewTurn Wiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;ScrewTurn Wiki ;Microsoft Windows (any NT version);Yes;Microsoft IIS (5/6/7);ASP.NET 3.5 (.NET 3.5);ScrewTurn Wiki ;Yes;Plugin;No;No;No;No;No;Microsoft SQL Server (Plugin);ScrewTurn Wiki ;Yes;Yes;Active Directory;Yes;No;No;No;Yes;No;ScrewTurn Wiki ;No;Yes;bitbucket.org;threeplicate.codebasehq.com;;www.screwturn.eu;;ScrewTurn Wiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;ScrewTurn Wiki ;Yes;Yes;25 languages;Danish, German, English, Spanish, Persian, French, Hungarian, Italian, Japanese, Korean, Latvian, Lettish, Dutch, Norwegian, Polish, Portuguese, Brazilian Portuguese, Romanian, Russian, Slovak, Serbian, Turkish, Ukrainian, Vietnamese, Chinese, Chinese Traditional;Yes;Threaded;Yes;Yes;Yes;Page Locking;Full Text;No;No;ScrewTurn Wiki ;No;Yes;No;No;No;Yes;Yes;Yes;ScrewTurn Wiki ;All;No;complex;No;No;No;No;No;No;Plugin;No;Yes;Yes;No;;Yes;Plugin;ScrewTurn Wiki ;Yes;Yes;Optional;Yes;Yes;No;Yes;ScrewTurn Wiki ;Yes;Yes;Yes;No;No;No;ScrewTurn Wiki ;XHTML 1.0 Transitional;Yes;Print View;No;Yes;Yes;No;No;Yes;No;No;No;No;ScrewTurn Wiki ;Yes;No;Yes;Yes;Yes;No;No;Filenames only;ScrewTurn Wiki ;Plugin;Plugin;No;No;No;ScrewTurn Wiki ;[PageName];[PageName|Link title];-- or --;[[PageName]];[[PageName|Link title]];;;;;;;;[http://www.server.com];[http://www.server.com|Link title];[mail@server.com];-- or --;[[http://www.server.com]];[[http://www.server.com|Link title]];[[mail@server.com]];;==H1==;===H2===;====H3====;=====H4=====;;;;;;;;;'''bold''';;;;;''italic'';;;;;__underline__;;;;{{inline}};@@block@@;;;;;;;--strike--;;;;<sup>superscript</sup>;;<sub>subscript</sub>;;[image|url];[image|url|link];[imageleft/right|url|link];;;;;;;;;;;;;;;;: Single indentation;:: Double indentation;...;;;;;;;;;;;;* Element;* Element that;spans multiple lines;;;;;;;# Element;# Element that;spans multiple lines;;;;;;;;;;;;;;;----;;;;;;;
SharePoint Wiki Plus ;2.1.80 for MOSS, 13.1.00 for SP2010 and SP2013;2013-13-08;KWizCom Corporation;kwizcom.com;No;per server;.NET - C#;Database;$3200;Mature;SharePoint users who desire enterprise wiki capabilities;SharePoint Wiki Plus ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;SharePoint Wiki Plus ;Windows Server 2003/2008;Yes;Microsoft IIS;SharePoint 2007/2010/2013 - All editions supported;SharePoint Wiki Plus ;No;No;No;No;No;No;No;MS SQL Server;SharePoint Wiki Plus ;Yes;Yes;Active Directory/Claims/.NET Authentication provider;Yes;No;No;No;Optional;Yes;SharePoint Wiki Plus ;Yes, 1 listed;No;;;;;;SharePoint Wiki Plus ;Yes;Yes;Yes;Yes;Unlimited;To current;Yes;Yes;SharePoint Wiki Plus ;Yes;Yes;;;Yes;Threaded;Yes;No;Optional;Conflict Detection;Full Text;Yes;Yes;SharePoint Wiki Plus ;No;Yes;Yes;Optional;No;Yes;Yes;Yes;SharePoint Wiki Plus ;All;No;simple + complex;No;No;No;No;Yes;Yes;Optional;Yes;Yes;Yes;No;javascript;Yes;Yes;SharePoint Wiki Plus ;Yes;Yes;No;Yes;Yes;Yes;Yes;SharePoint Wiki Plus ;Yes;Yes;No;Yes;Yes;Yes;SharePoint Wiki Plus ;HTML 4;Yes;Print View;No;Yes;Yes;No;Optional;Yes;Yes;Yes;Yes;Yes;SharePoint Wiki Plus ;Yes;No;Yes;Yes;Yes;Optional;No;No;SharePoint Wiki Plus ;Yes;Yes;Yes;Yes;Yes;SharePoint Wiki Plus ;[[SPD]];[[SharePoint Designer | SPD]];;;;;;;;;;;;;;[http://en.wikipedia.org/];[http://en.wikipedia.org Wikipedia];;;;;;;;;==Section==;===Subsection===;====Sub-subsection====;;;;;'''Bold text''';;;;''Italicized text'';;;<u>underlined text</u>;;;;=monospaced text=;;;;;<s>strike through</s>;;<sup>superscript</sup>;;;;<sub>subscript</sub>;;;;[[Image:KWizCom-logo.gif|KWizCom – Knowledge Worker Components]];;;;;;;;;;;;;"<div align=""right"">";;;;;;<blockquote>;multi line text;</blockquote>;;;;;;* one;** one-two;* two;* three;;;# one;## one-two;# two;# three;;;;;;;;;;;;---;;;;;;;;;;;;;;;;;;;;;
SMW plus ;1.5.6-1;40800;ontoprise GmbH;smwforum.ontoprise.com;Yes;GPL 2 and Commercial License;PHP;Database;Free;Mature;Professionals, amateurs, students;SMW plus ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;SMW plus ;Linux, Unix, Windows & others;Yes;Apache or IIS with PHP 5.3.3;;SMW plus ;No;Yes;No;;;;;"Reasoning engine ""OntoBroker"" (optional)";SMW plus ;Yes;Yes;LDAP;Yes;Yes;Optional;Plugin;Plugin;Plugin;SMW plus ;Yes, 4 listed;No;smwforum.ontoprise.com%2Fbranches%2F#_branches_;smwforum.ontoprise.com;;smwforum.ontoprise.com;smw_support@ontoprise.de;SMW plus ;Yes;Yes;Yes;Yes;Restricted by Age or Number;Between all;Plugin;Yes;SMW plus ;Yes;Yes;3 languages;German, English, French;Yes;Plugin;Yes;Yes;Yes;Conflict Detection;Full Text;Plugin;Yes;SMW plus ;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;SMW plus ;Some;Yes;simple + complex;No;No;No;No;Optional;Plugin;Yes;Yes;Yes;Yes;No;Yes (wikitext);Yes;Plugin;SMW plus ;Yes;Yes;No;Yes;Yes;Yes;Plugin;SMW plus ;Yes;Yes;Yes;Yes;Plugin;Optional;SMW plus ;XHTML 1.0 Transitional;Yes;Print View;;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;SMW plus ;Yes;Yes;Plugin;Plugin;Plugin;Plugin;Plugin;Contents;SMW plus ;Plugin;Plugin;Optional;Optional;Yes;SMW plus ;[[a link]];[[a link|with title]];;;;;;;;;;;;;;[http://example.org The title];;;;;;;;;;= Title =;==Section==;===Subsection===;====Sub-subsection====;;;;'''bold''';;;;''italic'';;;<u>underlined</u>;;;;<tt>monospace</tt>;;;;;<s>strikethrough</s>;;<sup>superscript</sup>;;;;<sub>subscript</sub>;;;;[[Image:SMWplus.jpg]]   ;[[File:SMWplus.png|400px|thumb|SMWplus]]   ;;;;;;;;;;;;<center>Centered</center>;;;;;;: indented line;;;;;;;;* Item 1;** Item 1.2;* Item 2;;;;# Item 1;## Item 1.2;# Item 2;;;;;;"; term : definition";;;;;;;----;;;;;;;;;;;;;;;;;;;;;
Socialtext ;does not apply;does not apply;Socialtext;www.socialtext.com;does not apply;does not apply;does not apply;does not apply;www.socialtext.com;does not apply;Businesses;Socialtext ;2 x 146GB;Unlimited;Unlimited wiki workspaces & pages;None;Yes;Yes;No;Socialtext ;does not apply;does not apply;does not apply;does not apply;Socialtext ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Socialtext ;Yes;Yes;does not apply;Yes;Optional;Optional;Yes;Optional;Optional;Socialtext ;Yes, 5 listed;does not apply;does not apply;www.socialtext.net;www.socialtext.net;www.socialtext.net;#socialtext;Socialtext ;Yes;Optional;Yes;Yes;Unlimited;Between all;Yes;Yes;Socialtext ;Yes;Optional;;;Yes;Flat;Yes;Yes;Optional;Conflict Detection;Full Text;does not apply;Yes;Socialtext ;Optional;Yes;Yes;Yes;Optional;Yes;Yes;Yes;Socialtext ;All;Optional;simple + complex;Optional;Optional;Optional;Optional;Optional;Optional;Optional;Yes;Optional;Optional;Optional;Javascript;Yes;Yes;Socialtext ;Optional;Yes;Yes;Yes;Yes;Yes;Yes;Socialtext ;Yes;Yes;Yes;Yes;Yes;Optional;Socialtext ;HTML 4;Yes;Print View;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Socialtext ;Yes;Yes;Yes;Yes;Optional;Optional;Optional;Contents;Socialtext ;Plugin;Plugin;Yes;Yes;Yes;Socialtext ;"""example"" {link]";;;;;;;;;;;;;;;"""Example""<http://www.example.com/>";;;;;;;;;;^ Headline;;;;;;;*bold*;;;;_italics_;;;.html;<u>word</u>;.html;;.pre;monospace;.pre;;;--strikethrough--;;.html;<sup>number here</sup>;.html;;.html;<sub>number here</sub>;.html;;http://www.example.com/path/to/image.jpg;;;;;;;;;;;;;.html;"<p style=""text-align: center;"">";text you wish to align here;</p>;.html;;> indented;;;;;;;;* bullet item;** bulletted subitem;;;;;# numbered item;## numbered subitem;;;;;;;Term;> definition;;;;;;----;;;;;;;;;;;;;;;;;;;;;
